# Cortical regions: LUT Lausanne2008 - Scale 1 - Cammoun et al., JNeurosci 2012
# Subcortical regions: LUT FreeSurferColorLUT.txt,v 1.70.2.7
# Thalamus segmentation: custom LUT - RGb gradient


#No.	Label Name:							R	G	B	A

0	unknown									25	5	25	0
1	right-lateralorbitofrontal				35	75	50	0
2	right-parsorbitalis						20	100	50	0
3	right-frontalpole						100	0	100	0
4	right-medialorbitofrontal				200	35	75	0
5	right-parstriangularis					220	60	20	0
6	right-parsopercularis					220	180	140	0
7	right-rostralmiddlefrontal				75	50	125	0
8	right-superiorfrontal					20	220	160	0
9	right-caudalmiddlefrontal				100	25	0	0
10	right-precentral						60	20	220	0
11	right-paracentral						60	220	60	0
12	right-rostralanteriorcingulate			80	20	140	0
13	right-caudalanteriorcingulate			125	100	160	0
14	right-posteriorcingulate				220	180	220	0
15	right-isthmuscingulate					140	20	140	0
16	right-postcentral						220	20	20	0
17	right-supramarginal						80	160	20	0
18	right-superiorparietal					20	180	140	0
19	right-inferiorparietal					220	60	220	0
20	right-precuneus							160	140	180	0
21	right-cuneus							220	20	100	0
22	right-pericalcarine						120	100	60	0
23	right-lateraloccipital					20	30	140	0
24	right-lingual							225	140	140	0
25	right-fusiform							180	220	140	0
26	right-parahippocampal					20	220	60	0
27	right-entorhinal						220	20	10	0
28	right-temporalpole						70	70	70	0
29	right-inferiortemporal					180	40	120	0
30	right-middletemporal					160	100	50	0
31	right-bankssts							25	100	40	0
32	right-superiortemporal					140	220	220	0
33	right-transversetemporal				150	150	200	0
34	right-insula							255	192	32	0
35	right-thalamus_PU						0	102	0	0
36	right-thalamus_A						0	153	0	0
37	right-thalamus_MD						0	204	0	0
38	right-thalamus_VLD						0	255	0	0
39	right-thalamus_CLPUM					51	255	51	0
40	right-thalamus_VA						102	255	102	0
41	right-thalamus_VLV						153	255	153	0
42	right-caudate							122	186	220	0
43	right-putamen							236	13	176	0
44	right-pallidum							12	48	255	0
45	right-accumbensarea						255	165	0	0
46	right-hippocampus						220	216	20	0
47	right-amygdala							103	255	255	0
48	left-lateralorbitofrontal				35	75	50	0
49	left-parsorbitalis						20	100	50	0
50	left-frontalpole						100	0	100	0
51	left-medialorbitofrontal				200	35	75	0
52	left-parstriangularis					220	60	20	0
53	left-parsopercularis					220	180	140	0
54	left-rostralmiddlefrontal				75	50	125	0
55	left-superiorfrontal					20	220	160	0
56	left-caudalmiddlefrontal				100	25	0	0
57	left-precentral							60	20	220	0
58	left-paracentral						60	220	60	0
59	left-rostralanteriorcingulate			80	20	140	0
60	left-caudalanteriorcingulate			125	100	160	0
61	left-posteriorcingulate					220	180	220	0
62	left-isthmuscingulate					140	20	140	0
63	left-postcentral						220	20	20	0
64	left-supramarginal						80	160	20	0
65	left-superiorparietal					20	180	140	0
66	left-inferiorparietal					220	60	220	0
67	left-precuneus							160	140	180	0
68	left-cuneus								220	20	100	0
69	left-pericalcarine						120	100	60	0
70	left-lateraloccipital					20	30	140	0
71	left-lingual							225	140	140	0
72	left-fusiform							180	220	140	0
73	left-parahippocampal					20	220	60	0
74	left-entorhinal							220	20	10	0
75	left-temporalpole						70	70	70	0
76	left-inferiortemporal					180	40	120	0
77	left-middletemporal						160	100	50	0
78	left-bankssts							25	100	40	0
79	left-superiortemporal					140	220	220	0
80	left-transversetemporal					150	150	200	0
81	left-insula								255	192	32	0
82	left-thalamus_PU						0	102	0	0
83	left-thalamus_A							0	153	0	0
84	left-thalamus_MD						0	204	0	0
85	left-thalamus_VLD						0	255	0	0
86	left-thalamus_CLPUM						51	255	51	0
87	left-thalamus_VA						102	255	102	0
88	left-thalamus_VLV						153	255	153	0
89	left-caudate							122	186	220	0
90	left-putamen							236	13	176	0
91	left-pallidum							12	48	255	0
92	left-accumbensarea						255	165	0	0
93	left-hippocampus						220	216	20	0
94	left-amygdala							103	255	255	0
95	brainstem								119	159	176	0
