# Cortical regions: LUT Lausanne2008 - Scale 2 - Cammoun et al., JNeurosci 2012
# Subcortical regions: LUT FreeSurferColorLUT.txt,v 1.70.2.7
# Thalamus segmentation: custom LUT - RGb gradient


#No.	Label Name:							R	G	B	A

0	unknown									25	5	25	0
1	right-lateralorbitofrontal_1			35	75	50	0
2	right-lateralorbitofrontal_2			35	72	50	0
3	right-parsorbitalis_1					20	100	50	0
4	right-frontalpole_1						100	0	100	0
5	right-medialorbitofrontal_1				200	35	75	0
6	right-medialorbitofrontal_2				182	35	75	0
7	right-parstriangularis_1				220	60	20	0
8	right-parsopercularis_1					220	180	140	0
9	right-rostralmiddlefrontal_1			75	50	125	0
10	right-rostralmiddlefrontal_2			75	50	122	0
11	right-superiorfrontal_1					20	220	160	0
12	right-superiorfrontal_2					20	194	160	0
13	right-superiorfrontal_3					20	195	160	0
14	right-superiorfrontal_4					20	196	160	0
15	right-caudalmiddlefrontal_1				100	25	0	0
16	right-precentral_1						60	20	220	0
17	right-precentral_2						60	20	211	0
18	right-precentral_3						60	20	212	0
19	right-paracentral_1						60	220	60	0
20	right-rostralanteriorcingulate_1		80	20	140	0
21	right-caudalanteriorcingulate_1			125	100	160	0
22	right-posteriorcingulate_1				220	180	220	0
23	right-isthmuscingulate_1				140	20	140	0
24	right-postcentral_1						220	20	20	0
25	right-postcentral_2						219	20	20	0
26	right-supramarginal_1					80	160	20	0
27	right-supramarginal_2					80	152	20	0
28	right-superiorparietal_1				20	180	140	0
29	right-superiorparietal_2				20	162	140	0
30	right-superiorparietal_3				20	163	140	0
31	right-inferiorparietal_1				220	60	220	0
32	right-inferiorparietal_2				212	60	220	0
33	right-inferiorparietal_3				213	60	220	0
34	right-precuneus_1						160	140	180	0
35	right-precuneus_2						160	140	162	0
36	right-cuneus_1							220	20	100	0
37	right-pericalcarine_1					120	100	60	0
38	right-lateraloccipital_1				20	30	140	0
39	right-lateraloccipital_2				20	30	127	0
40	right-lateraloccipital_3				20	30	128	0
41	right-lingual_1							225	140	140	0
42	right-lingual_2							227	140	140	0
43	right-fusiform_1						180	220	140	0
44	right-fusiform_2						180	194	140	0
45	right-parahippocampal_1					20	220	60	0
46	right-entorhinal_1						220	20	10	0
47	right-temporalpole_1					70	70	70	0
48	right-inferiortemporal_1				180	40	120	0
49	right-inferiortemporal_2				162	40	120	0
50	right-middletemporal_1					160	100	50	0
51	right-middletemporal_2					152	100	50	0
52	right-bankssts_1						25	100	40	0
53	right-superiortemporal_1				140	220	220	0
54	right-superiortemporal_2				140	220	202	0
55	right-transversetemporal_1				150	150	200	0
56	right-insula_1							255	192	32	0
57	right-insula_2							227	192	32	0
58	right-thalamus_PU						0	102	0	0
59	right-thalamus_A						0	153	0	0
60	right-thalamus_MD						0	204	0	0
61	right-thalamus_VLD						0	255	0	0
62	right-thalamus_CLPUM					51	255	51	0
63	right-thalamus_VA						102	255	102	0
64	right-thalamus_VLV						153	255	153	0
65	right-caudate							122	186	220	0
66	right-putamen							236	13	176	0
67	right-pallidum							12	48	255	0
68	right-accumbensarea						255	165	0	0
69	right-hippocampus						220	216	20	0
70	right-amygdala							103	255	255	0
71	left-lateralorbitofrontal_1				35	75	50	0
72	left-lateralorbitofrontal_2				35	72	50	0
73	left-parsorbitalis_1					20	100	50	0
74	left-frontalpole_1						100	0	100	0
75	left-medialorbitofrontal_1				200	35	75	0
76	left-parstriangularis_1					220	60	20	0
77	left-parsopercularis_1					220	180	140	0
78	left-rostralmiddlefrontal_1				75	50	125	0
79	left-rostralmiddlefrontal_2				75	50	122	0
80	left-rostralmiddlefrontal_3				75	50	123	0
81	left-superiorfrontal_1					20	220	160	0
82	left-superiorfrontal_2					20	194	160	0
83	left-superiorfrontal_3					20	195	160	0
84	left-superiorfrontal_4					20	196	160	0
85	left-caudalmiddlefrontal_1				100	25	0	0
86	left-precentral_1						60	20	220	0
87	left-precentral_2						60	20	211	0
88	left-precentral_3						60	20	212	0
89	left-precentral_4						60	20	213	0
90	left-paracentral_1						60	220	60	0
91	left-rostralanteriorcingulate_1			80	20	140	0
92	left-caudalanteriorcingulate_1			125	100	160	0
93	left-posteriorcingulate_1				220	180	220	0
94	left-isthmuscingulate_1					140	20	140	0
95	left-postcentral_1						220	20	20	0
96	left-postcentral_2						219	20	20	0
97	left-postcentral_3						221	20	20	0
98	left-supramarginal_1					80	160	20	0
99	left-supramarginal_2					80	152	20	0
100	left-superiorparietal_1					20	180	140	0
101	left-superiorparietal_2					20	162	140	0
102	left-superiorparietal_3					20	163	140	0
103	left-inferiorparietal_1					220	60	220	0
104	left-inferiorparietal_2					212	60	220	0
105	left-precuneus_1						160	140	180	0
106	left-precuneus_2						160	140	162	0
107	left-cuneus_1							220	20	100	0
108	left-pericalcarine_1					120	100	60	0
109	left-lateraloccipital_1					20	30	140	0
110	left-lateraloccipital_2					20	30	127	0
111	left-lingual_1							225	140	140	0
112	left-lingual_2							227	140	140	0
113	left-fusiform_1							180	220	140	0
