# Cortical regions: LUT Lausanne2008 - Scale 5 - Cammoun et al., JNeurosci 2012
# Subcortical regions: LUT FreeSurferColorLUT.txt,v 1.70.2.7
# Thalamus segmentation: custom LUT - RGb gradient


#No.	Label Name:								R	G	B	A

0		unknown									25	5	25	0
1		right-lateralorbitofrontal_9			35	75	44	0
2		right-lateralorbitofrontal_11			35	75	46	0
3		right-lateralorbitofrontal_5			35	76	50	0
4		right-lateralorbitofrontal_6			35	75	41	0
5		right-lateralorbitofrontal_7			35	75	42	0
6		right-lateralorbitofrontal_10			35	75	45	0
7		right-lateralorbitofrontal_4			35	74	50	0
8		right-lateralorbitofrontal_17			35	75	53	0
9		right-lateralorbitofrontal_8			35	75	43	0
10		right-lateralorbitofrontal_15			35	75	51	0
11		right-lateralorbitofrontal_13			35	75	48	0
12		right-lateralorbitofrontal_12			35	75	47	0
13		right-lateralorbitofrontal_1			35	75	50	0
14		right-lateralorbitofrontal_3			35	73	50	0
15		right-lateralorbitofrontal_16			35	75	52	0
16		right-lateralorbitofrontal_14			35	75	49	0
17		right-lateralorbitofrontal_2			35	72	50	0
18		right-parsorbitalis_4					20	79	50	0
19		right-parsorbitalis_1					20	100	50	0
20		right-parsorbitalis_2					20	77	50	0
21		right-parsorbitalis_3					20	78	50	0
22		right-frontalpole_2						88	0	100	0
23		right-frontalpole_1						100	0	100	0
24		right-medialorbitofrontal_1				200	35	75	0
25		right-medialorbitofrontal_9				189	35	75	0
26		right-medialorbitofrontal_7				187	35	75	0
27		right-medialorbitofrontal_3				183	35	75	0
28		right-medialorbitofrontal_10			190	35	75	0
29		right-medialorbitofrontal_8				188	35	75	0
30		right-medialorbitofrontal_5				185	35	75	0
31		right-medialorbitofrontal_4				184	35	75	0
32		right-medialorbitofrontal_2				182	35	75	0
33		right-medialorbitofrontal_6				186	35	75	0
34		right-medialorbitofrontal_11			191	35	75	0
35		right-parstriangularis_8				217	60	20	0
36		right-parstriangularis_5				214	60	20	0
37		right-parstriangularis_3				212	60	20	0
38		right-parstriangularis_4				213	60	20	0
39		right-parstriangularis_1				220	60	20	0
40		right-parstriangularis_2				211	60	20	0
41		right-parstriangularis_7				216	60	20	0
42		right-parstriangularis_6				215	60	20	0
43		right-parsopercularis_8					208	180	140	0
44		right-parsopercularis_4					204	180	140	0
45		right-parsopercularis_5					205	180	140	0
46		right-parsopercularis_9					209	180	140	0
47		right-parsopercularis_3					203	180	140	0
48		right-parsopercularis_1					220	180	140	0
49		right-parsopercularis_7					207	180	140	0
50		right-parsopercularis_6					206	180	140	0
51		right-parsopercularis_2					202	180	140	0
52		right-rostralmiddlefrontal_19			75	46	125	0
53		right-rostralmiddlefrontal_21			75	48	125	0
54		right-rostralmiddlefrontal_16			75	43	125	0
55		right-rostralmiddlefrontal_22			75	49	125	0
56		right-rostralmiddlefrontal_24			75	52	125	0
57		right-rostralmiddlefrontal_10			76	50	125	0
58		right-rostralmiddlefrontal_20			75	47	125	0
59		right-rostralmiddlefrontal_15			75	42	125	0
60		right-rostralmiddlefrontal_18			75	45	125	0
61		right-rostralmiddlefrontal_7			72	50	125	0
62		right-rostralmiddlefrontal_25			75	53	125	0
63		right-rostralmiddlefrontal_23			75	51	125	0
64		right-rostralmiddlefrontal_4			75	50	124	0
65		right-rostralmiddlefrontal_27			75	55	125	0
66		right-rostralmiddlefrontal_14			75	41	125	0
67		right-rostralmiddlefrontal_17			75	44	125	0
68		right-rostralmiddlefrontal_9			74	50	125	0
69		right-rostralmiddlefrontal_12			78	50	125	0
70		right-rostralmiddlefrontal_2			75	50	122	0
71		right-rostralmiddlefrontal_13			79	50	125	0
72		right-rostralmiddlefrontal_11			77	50	125	0
73		right-rostralmiddlefrontal_3			75	50	123	0
74		right-rostralmiddlefrontal_5			75	50	126	0
75		right-rostralmiddlefrontal_8			73	50	125	0
76		right-rostralmiddlefrontal_26			75	54	125	0
77		right-rostralmiddlefrontal_1			75	50	125	0
78		right-rostralmiddlefrontal_6			71	50	125	0
79		right-superiorfrontal_40				20	220	153	0
80		right-superiorfrontal_4					20	196	160	0
81		right-superiorfrontal_3					20	195	160	0
82		right-superiorfrontal_14				20	206	160	0
83		right-superiorfrontal_7					20	199	160	0
84		right-superiorfrontal_23				20	215	160	0
85		right-superiorfrontal_10				20	202	160	0
86		right-superiorfrontal_39				20	220	152	0
87		right-superiorfrontal_19				20	211	160	0
88		right-superiorfrontal_29				20	220	142	0
89		right-superiorfrontal_1					20	220	160	0
90		right-superiorfrontal_27				20	219	160	0
91		right-superiorfrontal_30				20	220	143	0
92		right-superiorfrontal_15				20	207	160	0
93		right-superiorfrontal_2					20	194	160	0
94		right-superiorfrontal_11				20	203	160	0
95		right-superiorfrontal_37				20	220	150	0
96		right-superiorfrontal_8					20	200	160	0
97		right-superiorfrontal_36				20	220	149	0
98		right-superiorfrontal_25				20	217	160	0
99		right-superiorfrontal_24				20	216	160	0
100		right-superiorfrontal_38				20	220	151	0
101		right-superiorfrontal_20				20	212	160	0
102		right-superiorfrontal_5					20	197	160	0
103		right-superiorfrontal_22				20	214	160	0
104		right-superiorfrontal_21				20	213	160	0
105		right-superiorfrontal_12				20	204	160	0
106		right-superiorfrontal_18				20	210	160	0
107		right-superiorfrontal_42				20	220	155	0
108		right-superiorfrontal_13				20	205	160	0
109		right-superiorfrontal_32				20	220	145	0
110		right-superiorfrontal_33				20	220	146	0
111		right-superiorfrontal_28				20	220	141	0
112		right-superiorfrontal_41				20	220	154	0
113		right-superiorfrontal_16				20	208	160	0
114		right-superiorfrontal_6					20	198	160	0
115		right-superiorfrontal_9					20	201	160	0
116		right-superiorfrontal_17				20	209	160	0
117		right-superiorfrontal_31				20	220	144	0
118		right-superiorfrontal_35				20	220	148	0
119		right-superiorfrontal_34				20	220	147	0
120		right-superiorfrontal_26				20	218	160	0
121		right-caudalmiddlefrontal_8				88	25	0	0
122		right-caudalmiddlefrontal_4				84	25	0	0
123		right-caudalmiddlefrontal_2				82	25	0	0
124		right-caudalmiddlefrontal_3				83	25	0	0
125		right-caudalmiddlefrontal_7				87	25	0	0
126		right-caudalmiddlefrontal_5				85	25	0	0
127		right-caudalmiddlefrontal_11			91	25	0	0
128		right-caudalmiddlefrontal_10			90	25	0	0
129		right-caudalmiddlefrontal_1				100	25	0	0
130		right-caudalmiddlefrontal_9				89	25	0	0
131		right-caudalmiddlefrontal_6				86	25	0	0
132		right-precentral_12						37	20	220	0
133		right-precentral_35						61	20	220	0
134		right-precentral_28						53	20	220	0
135		right-precentral_36						62	20	220	0
136		right-precentral_31						56	20	220	0
137		right-precentral_5						60	20	214	0
138		right-precentral_21						46	20	220	0
139		right-precentral_1						60	20	220	0
140		right-precentral_8						60	20	217	0
141		right-precentral_20						45	20	220	0
142		right-precentral_34						59	20	220	0
143		right-precentral_2						60	20	211	0
144		right-precentral_23						48	20	220	0
145		right-precentral_19						44	20	220	0
146		right-precentral_22						47	20	220	0
147		right-precentral_26						51	20	220	0
148		right-precentral_6						60	20	215	0
149		right-precentral_10						60	20	219	0
150		right-precentral_3						60	20	212	0
151		right-precentral_9						60	20	218	0
152		right-precentral_4						60	20	213	0
153		right-precentral_32						57	20	220	0
154		right-precentral_16						41	20	220	0
155		right-precentral_15						40	20	220	0
156		right-precentral_30						55	20	220	0
157		right-precentral_18						43	20	220	0
158		right-precentral_27						52	20	220	0
159		right-precentral_7						60	20	216	0
160		right-precentral_11						36	20	220	0
161		right-precentral_14						39	20	220	0
162		right-precentral_33						58	20	220	0
163		right-precentral_24						49	20	220	0
164		right-precentral_13						38	20	220	0
165		right-precentral_29						54	20	220	0
166		right-precentral_25						50	20	220	0
167		right-precentral_17						42	20	220	0
168		right-paracentral_1						60	220	60	0
169		right-paracentral_9						60	207	60	0
170		right-paracentral_4						60	202	60	0
171		right-paracentral_2						60	200	60	0
172		right-paracentral_3						60	201	60	0
173		right-paracentral_5						60	203	60	0
174		right-paracentral_12					60	210	60	0
175		right-paracentral_6						60	204	60	0
176		right-paracentral_10					60	208	60	0
177		right-paracentral_11					60	209	60	0
178		right-paracentral_7						60	205	60	0
179		right-paracentral_8						60	206	60	0
180		right-rostralanteriorcingulate_2		80	20	127	0
181		right-rostralanteriorcingulate_1		80	20	140	0
182		right-rostralanteriorcingulate_4		80	20	129	0
183		right-rostralanteriorcingulate_3		80	20	128	0
184		right-caudalanteriorcingulate_1			125	100	160	0
185		right-caudalanteriorcingulate_6			125	100	146	0
186		right-caudalanteriorcingulate_4			125	100	144	0
187		right-caudalanteriorcingulate_2			125	100	142	0
188		right-caudalanteriorcingulate_3			125	100	143	0
189		right-caudalanteriorcingulate_5			125	100	145	0
190		right-posteriorcingulate_8				220	180	208	0
191		right-posteriorcingulate_1				220	180	220	0
192		right-posteriorcingulate_7				220	180	207	0
193		right-posteriorcingulate_2				220	180	202	0
194		right-posteriorcingulate_5				220	180	205	0
195		right-posteriorcingulate_3				220	180	203	0
196		right-posteriorcingulate_9				220	180	209	0
197		right-posteriorcingulate_4				220	180	204	0
198		right-posteriorcingulate_6				220	180	206	0
199		right-isthmuscingulate_3				128	20	140	0
200		right-isthmuscingulate_1				140	20	140	0
201		right-isthmuscingulate_2				127	20	140	0
202		right-isthmuscingulate_4				129	20	140	0
203		right-isthmuscingulate_5				130	20	140	0
204		right-isthmuscingulate_6				131	20	140	0
205		right-postcentral_24					220	24	20	0
206		right-postcentral_26					220	20	12	0
207		right-postcentral_6						224	20	20	0
208		right-postcentral_20					220	19	20	0
209		right-postcentral_25					220	20	11	0
210		right-postcentral_11					220	10	20	0
211		right-postcentral_3						221	20	20	0
212		right-postcentral_18					220	17	20	0
213		right-postcentral_27					220	20	13	0
214		right-postcentral_13					220	12	20	0
215		right-postcentral_23					220	23	20	0
216		right-postcentral_9						220	8	20	0
217		right-postcentral_17					220	16	20	0
218		right-postcentral_30					220	20	16	0
219		right-postcentral_22					220	22	20	0
220		right-postcentral_7						220	6	20	0
221		right-postcentral_4						222	20	20	0
222		right-postcentral_5						223	20	20	0
223		right-postcentral_29					220	20	15	0
224		right-postcentral_1						220	20	20	0
225		right-postcentral_16					220	15	20	0
226		right-postcentral_14					220	13	20	0
227		right-postcentral_12					220	11	20	0
228		right-postcentral_21					220	21	20	0
229		right-postcentral_8						220	7	20	0
230		right-postcentral_10					220	9	20	0
231		right-postcentral_2						219	20	20	0
232		right-postcentral_19					220	18	20	0
233		right-postcentral_15					220	14	20	0
234		right-postcentral_28					220	20	14	0
235		right-supramarginal_19					85	160	20	0
236		right-supramarginal_10					80	161	20	0
237		right-supramarginal_11					76	160	20	0
238		right-supramarginal_13					78	160	20	0
239		right-supramarginal_18					84	160	20	0
240		right-supramarginal_20					86	160	20	0
241		right-supramarginal_8					80	158	20	0
242		right-supramarginal_4					80	154	20	0
243		right-supramarginal_15					81	160	20	0
244		right-supramarginal_9					80	159	20	0
245		right-supramarginal_3					80	153	20	0
246		right-supramarginal_14					79	160	20	0
247		right-supramarginal_16					82	160	20	0
248		right-supramarginal_2					80	152	20	0
249		right-supramarginal_6					80	156	20	0
250		right-supramarginal_12					77	160	20	0
251		right-supramarginal_1					80	160	20	0
252		right-supramarginal_7					80	157	20	0
253		right-supramarginal_5					80	155	20	0
254		right-supramarginal_17					83	160	20	0
255		right-superiorparietal_13				20	173	140	0
256		right-superiorparietal_24				20	185	140	0
257		right-superiorparietal_18				20	178	140	0
258		right-superiorparietal_10				20	170	140	0
259		right-superiorparietal_29				20	190	140	0
260		right-superiorparietal_4				20	164	140	0
261		right-superiorparietal_12				20	172	140	0
262		right-superiorparietal_15				20	175	140	0
263		right-superiorparietal_28				20	189	140	0
264		right-superiorparietal_16				20	176	140	0
265		right-superiorparietal_17				20	177	140	0
266		right-superiorparietal_7				20	167	140	0
267		right-superiorparietal_20				20	181	140	0
268		right-superiorparietal_25				20	186	140	0
269		right-superiorparietal_22				20	183	140	0
270		right-superiorparietal_9				20	169	140	0
271		right-superiorparietal_5				20	165	140	0
272		right-superiorparietal_26				20	187	140	0
273		right-superiorparietal_23				20	184	140	0
274		right-superiorparietal_2				20	162	140	0
275		right-superiorparietal_14				20	174	140	0
276		right-superiorparietal_11				20	171	140	0
277		right-superiorparietal_21				20	182	140	0
278		right-superiorparietal_19				20	179	140	0
279		right-superiorparietal_6				20	166	140	0
280		right-superiorparietal_27				20	188	140	0
281		right-superiorparietal_1				20	180	140	0
282		right-superiorparietal_3				20	163	140	0
283		right-superiorparietal_8				20	168	140	0
284		right-inferiorparietal_13				224	60	220	0
285		right-inferiorparietal_21				220	60	208	0
286		right-inferiorparietal_11				222	60	220	0
287		right-inferiorparietal_3				213	60	220	0
288		right-inferiorparietal_4				214	60	220	0
289		right-inferiorparietal_25				220	60	212	0
290		right-inferiorparietal_12				223	60	220	0
291		right-inferiorparietal_8				218	60	220	0
292		right-inferiorparietal_16				220	60	203	0
293		right-inferiorparietal_26				220	60	213	0
294		right-inferiorparietal_2				212	60	220	0
295		right-inferiorparietal_17				220	60	204	0
296		right-inferiorparietal_5				215	60	220	0
297		right-inferiorparietal_1				220	60	220	0
298		right-inferiorparietal_19				220	60	206	0
299		right-inferiorparietal_14				220	60	201	0
300		right-inferiorparietal_9				219	60	220	0
301		right-inferiorparietal_18				220	60	205	0
302		right-inferiorparietal_10				221	60	220	0
303		right-inferiorparietal_20				220	60	207	0
304		right-inferiorparietal_22				220	60	209	0
305		right-inferiorparietal_23				220	60	210	0
306		right-inferiorparietal_6				216	60	220	0
307		right-inferiorparietal_7				217	60	220	0
308		right-inferiorparietal_15				220	60	202	0
309		right-inferiorparietal_24				220	60	211	0
